mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.045204448699951175,0.007529669736548219,0.0016545772552490235,0.00035037611511248384,2,1,2,10,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 10}",0.34540531574596567,0.5800694657708743,0.18614671437441332,0.05131954864681376,0.11340844121730942,0.2552698971510753,0.18979862233046738,97
0.14403328895568848,0.0012004606922800941,0.00260772705078125,2.097465684267783e-05,2,1,2,50,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",0.3616602648319951,0.4401605804911123,0.23537352906751696,0.172137054096411,0.20003973069461245,0.28187423183632954,0.10229548215349346,79
0.28615751266479494,0.001645448241708437,0.004251241683959961,3.209188468943698e-05,2,1,2,100,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.362483118315297,0.44685435561869846,0.24257563667493098,0.14156906865236873,0.1989979378699419,0.2784960234262474,0.11113736622905507,82
0.5804760932922364,0.016350463788961603,0.00794205665588379,0.0006804669176001583,2,1,2,200,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.33321042505212195,0.4503890390564993,0.27144475741183693,0.16621416749682416,0.2202841728428161,0.2883085123720196,0.09808670138494258,76
0.030244064331054688,0.00016323852755239374,0.0012157917022705077,1.3262246430219376e-05,2,1,5,10,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 10}",0.34540531574596567,0.5800694657708743,0.18614671437441332,0.05131954864681376,0.11340844121730942,0.2552698971510753,0.18979862233046738,97
0.1438455581665039,0.0015743203217363983,0.002540922164916992,1.2295188565255405e-05,2,1,5,50,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 50}",0.3616602648319951,0.4401605804911123,0.23537352906751696,0.17194698852836665,0.20003973069461245,0.2818362187227207,0.10233628072493163,80
0.28443312644958496,0.0013992991188398083,0.0042110919952392575,9.746159584839795e-06,2,1,5,100,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.3621140670365627,0.44685435561869846,0.24231755828113155,0.1414683184699257,0.1989979378699419,0.27835044745525206,0.11112319123116868,83
0.5675267219543457,0.004017142226915563,0.00749359130859375,3.0264550537030918e-05,2,1,5,200,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.3330128426397204,0.4503890390564993,0.27117767640414137,0.16616613881987774,0.2202841728428161,0.28820597395261094,0.09808981336577047,78
0.03032717704772949,0.00019427896595979602,0.0012124061584472656,1.2073870890218835e-05,2,1,10,10,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 10}",0.34540531574596567,0.5800694657708743,0.18614671437441332,0.05131954864681376,0.11340844121730942,0.2552698971510753,0.18979862233046738,97
0.14369587898254393,0.0012785490786222117,0.002554464340209961,2.7024259529229193e-05,2,1,10,50,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 50}",0.3616602648319951,0.4401605804911123,0.23537352906751696,0.17194698852836665,0.20003973069461245,0.2818362187227207,0.10233628072493163,80
