MD_ID,box,Dmd_m2_s,window_ps,can_SMILES,T_K,Dmd×10-9/m2·s-1,Dpred×10-9/m2·s-1,ln(Dmd×10-9/m2·s-1),ln(Dpred×10-9/m2·s-1),ref
1,35,2.8033383172055832e-09,1949.5,Cl/C=C\CCl,300,2.803338317205583,1.8093053945637754,1.0308109631530677,0.5929430117135395,MD
2,35,2.72094979792607e-09,1949.5,ClC=CCCl,300,2.72094979792607,1.9430605658104494,1.0009810097691187,0.66426434119639,MD
19,35,1.206824120344226e-12,924.5,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,300,0.0012068241203442,0.8752731634403372,-6.719763063852092,-0.13321925455572178,MD
20,35,1.6912307596317073e-12,899.5,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,300,0.0016912307596317,0.8620865993465621,-6.3822987549627905,-0.1483995500854669,MD
33,35,1.0575897847030888e-10,1949.5,CCCCC(CC)CO,300,0.1057589784703088,0.9945293965108251,-2.2465925618672697,-0.0054856220391743885,MD
39,35,9.134096671488731e-11,1649.5,Cc1ccc(C(C)C)c(O)c1,300,0.0913409667148873,0.9715247011005377,-2.3931558875842547,-0.02888858475391536,MD
46,35,8.188836242445761e-11,1724.5,CCC(CO)c1ccccc1,300,0.0818883624244576,1.0205270585552249,-2.5023983931590235,0.020319217914016648,MD
47,35,4.0804132530677636e-11,1824.5,CCCCC(CO)c1ccccc1,300,0.0408041325306776,0.9467357394142624,-3.1989719151846474,-0.054735274986755136,MD
49,35,9.975653022302692e-11,1949.5,CC(CO)c1ccccc1,300,0.0997565302230269,1.0877266324080372,-2.305022759459956,0.08408985988552117,MD
58,35,8.907583187762074e-11,1949.5,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,300,0.0890758318776207,0.8311300080592868,-2.41826722846429,-0.18496904863858435,MD
59,35,1.1045453046147464e-10,1949.5,Oc1c(Cl)cc(Cl)cc1Cl,300,0.1104545304614746,0.9720492310053747,-2.203151331745604,-0.028348826621840295,MD
60,35,4.939157796619439e-12,1924.5,Cc1cc(N)ccc1N,300,0.0049391577966194,0.9309851307654246,-5.310560448831075,-0.0715119730834984,MD
68,35,6.230011123537263e-11,1899.5,Cc1ccc(O)cc1C,300,0.0623001112353726,1.0605451653027622,-2.7757920677108276,0.058783082802915075,MD
76,35,4.521666924515776e-11,1049.5,Cc1cc(O)cc(C)c1Cl,300,0.0452166692451577,0.9436933599626371,-3.096289471520073,-0.05795399615356031,MD
82,35,3.6159099250251285e-11,1949.5,N#Cc1ccc(O)cc1,300,0.0361590992502512,0.9313306733694248,-3.319826653883158,-0.07114088391892348,MD
83,35,1.1435782559782771e-10,1949.5,CCc1ccc(O)cc1,300,0.1143578255978277,1.0212933071748627,-2.1684229253689167,0.02106977233934177,MD
91,35,9.336218613927748e-11,1949.5,O=[N+]([O-])c1ccc(O)cc1,300,0.0933621861392774,0.904170628553412,-2.3712688750475146,-0.10073718800090659,MD
93,35,7.0758028429316e-11,1924.5,OCCCCc1ccccc1,300,0.070758028429316,0.9236804094807374,-2.648489272863973,-0.07938914435511185,MD
98,35,9.101676144110637e-13,699.5,CCCCC1(CC)C(=O)NC(=O)NC1=O,300,0.000910167614411,0.9966027580127623,-7.00188178375414,-0.0034030257166650533,MD
99,35,8.94062458581778e-13,1949.5,O=c1[nH]cc(F)c(=O)[nH]1,300,0.0008940624585817,0.9338863273887622,-7.019734921045802,-0.0684005533111855,MD
107,35,1.327876516253058e-12,1574.5,COc1c2occc2cc2ccc(=O)oc12,300,0.001327876516253,0.9375109347614249,-6.624174217000491,-0.06452685746007225,MD
122,35,5.832909141776699e-13,649.5,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,300,0.0005832909141776,0.8925135371608248,-7.446824500911632,-0.11371359775617243,MD
126,35,2.546421439044732e-12,949.5,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,300,0.0025464214390447,0.9355360147391373,-5.973066262677176,-0.06663563615852182,MD
127,35,8.432397913702804e-13,1099.5,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,300,0.0008432397913702,0.919696650995462,-7.078259190386695,-0.08371139048985517,MD
130,35,8.36249997470511e-10,1949.5,COc1ccccc1,300,0.836249997470511,1.5779120364808006,-0.17882767056449886,0.4561024771949148,MD
131,35,7.654380390146758e-11,1574.5,COc1ccc(CO)cc1,300,0.0765438039014675,1.00406420658785,-2.569892102003302,0.004055970009484357,MD
132,35,2.176098379668688e-12,674.5,Cc1cc(=O)n(-c2ccccc2)n1C,300,0.0021760983796686,0.9362958766066,-6.130221739765678,-0.06582374497030613,MD
140,35,3.802651062854822e-11,1924.5,O=C(O)c1ccccc1,300,0.0380265106285482,0.9560829395939372,-3.2694717143793857,-0.04491061279647389,MD
144,35,7.662758053047319e-12,1324.5,O=C(OCc1ccccc1)c1cccnc1,300,0.0076627580530473,0.8746733205676995,-4.87138330089082,-0.13390481025883907,MD
145,35,6.422242877822119e-11,1949.5,CC(=O)/C=C/c1ccccc1,300,0.0642224287782212,1.0593363853072872,-2.7454027713812708,0.05764266047494585,MD
148,35,4.3171380461327363e-13,524.5,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,300,0.0004317138046132,0.9555007948334747,-7.747747678584479,-0.04551968345131835,MD
149,35,4.2250170770644995e-12,1449.5,CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,300,0.0042250170770645,0.9168086035403623,-5.466731976272411,-0.08685654875029043,MD
157,35,1.3206200888411584e-10,1949.5,O=C(O)C(Cl)Br,300,0.1320620088841158,1.0212553224586742,-2.0244837024268545,0.0210325788883348,MD
168,35,2.0935385266456e-12,1399.5,Cn1c(=O)c2c(ncn2C)n(C)c1=O,300,0.0020935385266455,0.9350585428235249,-6.168899569691128,-0.0671461390080588,MD
172,35,5.6326790646179674e-11,1949.5,Cc1ccc(C(C)C)cc1O,300,0.0563267906461796,0.9574274758947,-2.8765850018477312,-0.04350530398691017,MD
181,35,5.140384854899946e-12,1949.5,O=C(O)/C=C/c1ccccc1,300,0.0051403848548999,0.9668699970515249,-5.270627327823875,-0.033691232016971884,MD
182,35,9.86748872076576e-11,1699.5,OC/C=C/c1ccccc1,300,0.0986748872076576,1.089647963035812,-2.315924800502969,0.08585467438319348,MD
