MD_ID,box,Dmd_m2_s,window_ps,can_SMILES,T_K,Dmd×10-9/m2·s-1,Dpred×10-9/m2·s-1,ln(Dmd×10-9/m2·s-1),ln(Dpred×10-9/m2·s-1),ref
45,35,8.833506875273869e-11,1949.5,OCCOc1ccccc1,300,0.0883350687527386,1.0368890131003352,-2.4266180955995917,0.03622489661539342,MD
518,35,2.2144208118802404e-12,1474.5,C1COCCOCCOCCOCCOCCO1,300,0.0022144208118802,0.95588994714859,-6.11276439415653,-0.04511249060273448,MD
777,35,2.786869318315767e-12,1949.5,CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](C[C@H](O)[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)[C@@H](O)C[C@]4(C)CC[C@]23C)[C@@]1(C)C(=O)O,300,0.0027868693183157,0.9852882828755711,-5.88283642131412,-0.014821007660304208,MD
987,35,2.436323780668717e-12,574.5,Cc1ccccc1Sc1ccc(C#N)c(C(F)(F)F)c1,300,0.0024363237806687,0.9861415352885002,-6.0172650230782585,-0.013955389763744427,MD
