MD_ID,box,Dmd_m2_s,window_ps,can_SMILES,T_K,Dmd×10-9/m2·s-1,Dpred×10-9/m2·s-1
6,35,5.0167012133068565e-11,1899.5,CCCCCCN1CCCC1=O,300,0.0501670121330685,1.661931446524563
32,35,3.4543268241022647e-10,1949.5,CCOCCOC(C)=O,300,0.3454326824102264,1.8915402759248
41,35,4.085506187480181e-10,1949.5,COCCOC(C)=O,300,0.4085506187480182,1.8311769244149507
45,35,8.833506875273869e-11,1949.5,OCCOc1ccccc1,300,0.0883350687527386,1.1376573829712502
48,35,5.7852395357647357e-11,1349.5,CCCC(CO)c1ccccc1,300,0.0578523953576473,1.14059318191375
52,35,2.3434966126368005e-11,1949.5,Oc1ccccc1-c1ccccc1,300,0.023434966126368,2.8598919857952634
54,35,6.887615664816449e-11,1949.5,Cc1ccccc1N,300,0.0688761566481644,1.212943916044188
55,35,1.7581822652073792e-10,1949.5,CC(O)C(C)O,300,0.1758182265207379,2.4269069477935488
88,35,3.1682443662074937e-10,1949.5,CC(C)CC(C)O,300,0.3168244366207494,1.568047121471162
102,35,8.088332855864357e-13,624.5,CCC1(CC)C(=O)NC(=O)NC1=O,300,0.0008088332855864,1.008045142422
117,35,4.121430255937784e-09,1949.5,C=CC=O,300,4.121430255937784,1.9838166666324992
119,35,3.583088282426333e-09,1949.5,C=CC#N,300,3.583088282426333,1.6580233493227754
123,35,2.7669964391363907e-09,1949.5,C=CCO,300,2.7669964391363906,0.9359504311609996
141,35,1.4925600960556197e-11,1499.5,O=C(c1ccccc1)c1ccccc1,300,0.0149256009605561,2.9112125645337876
174,35,2.8867129011493093e-11,1524.5,OC(O)C(Cl)(Cl)Cl,300,0.028867129011493,1.3119772172643502
176,35,1.8331611314514286e-09,1949.5,N#CCCl,300,1.833161131451429,0.8260299634602494
208,35,2.9607001858274075e-09,1949.5,CCOCC,300,2.960700185827408,1.6554130543439496
213,35,1.0411811045394484e-10,1299.5,CCCCOCCOCCOC(C)=O,300,0.1041181104539448,1.8131173396958247
214,35,6.539835220672763e-13,1099.5,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,300,0.0006539835220672,1.870419784786725
255,35,3.1609241639134616e-12,1924.5,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,300,0.0031609241639134,1.0218030383532122
256,35,1.8341201223490946e-10,1949.5,CC(C)=CCC/C(C)=C/CO,300,0.1834120122349095,1.4412606947368496
262,35,3.3935485924663007e-10,1949.5,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,300,0.33935485924663,1.9297659428562748
299,35,1.7138722941139917e-12,1824.5,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1,300,0.0017138722941139,1.023342658022912
305,35,2.4192281925308416e-11,1549.5,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,300,0.0241922819253084,1.344271612820412
307,35,4.238740827263406e-12,1449.5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,300,0.0042387408272634,1.039926701534825
316,35,2.1066645988972967e-10,1949.5,COS(C)(=O)=O,300,0.2106664598897296,1.2978779741188742
323,35,3.0138367266490307e-12,1324.5,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,300,0.003013836726649,1.0829205597144371
346,35,1.7530455452554236e-10,1949.5,c1ccc2ccccc2c1,300,0.1753045545255423,2.921970444809826
393,35,3.6227473983620895e-09,1949.5,CC1CO1,300,3.6227473983620895,1.5935930625283126
414,35,1.7589506830817257e-12,1049.5,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,300,0.0017589506830817,1.0202454319783623
422,35,1.573174620231841e-11,1499.5,CC1=CC(=O)C(C(C)C)=CC1=O,300,0.0157317462023184,1.1471705845074123
428,35,9.574887862447754e-11,1324.5,O=C/C=C/c1ccccc1,300,0.0957488786244775,1.4750721855716122
434,35,9.394445228141768e-12,1599.5,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,300,0.0093944452281417,1.1213489622085246
441,35,7.088371265124812e-09,1949.5,[3H]O[3H],300,7.088371265124813,2.7460095980836376
458,35,2.5233382154156068e-11,1549.5,CCCCCCCCCCCCCCCCCC,300,0.025233382154156,1.9294111478360387
461,35,5.954621648350602e-12,449.5,CCCCCCCCCCCCCCCCCCCCC,300,0.0059546216483506,2.9856645903115733
462,35,1.1863094728680755e-11,549.5,CCCCCCCCCCCCCCCCCCCCCCC,300,0.0118630947286807,2.4469246007428898
466,35,1.3961285749926856e-11,874.5,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,300,0.0139612857499268,2.07385513699494
485,35,3.4394469772271164e-09,1949.5,C=CCCCC,300,3.439446977227117,1.4116170863273994
486,35,3.0145230089318517e-11,1574.5,C(#Cc1ccccc1)c1ccccc1,300,0.0301452300893185,1.0463946449209376
505,35,2.0428100085040167e-12,824.5,c1ccc(-c2ccccc2-c2ccccc2)cc1,300,0.002042810008504,2.9619776506211757
509,35,1.7699693871072075e-10,1949.5,COCCOCCOCCOC,300,0.1769969387107207,2.1541948069544996
510,35,1.0274863773224939e-10,1924.5,COCCOCCOCCOCCOC,300,0.1027486377322494,2.0575870709234643
518,35,2.2144208118802404e-12,1474.5,C1COCCOCCOCCOCCOCCO1,300,0.0022144208118802,1.1265995046933373
531,35,1.0853523920237107e-10,1774.5,CCCCCCCCCCOC(C)=O,300,0.108535239202371,1.6135381454326503
552,35,2.659479062664743e-10,1949.5,C1CCNCC1,300,0.2659479062664743,1.5548539741169753
555,35,2.1855210267171475e-10,1949.5,CNC(C)=O,300,0.2185521026717147,2.5290943305377764
556,35,4.158256979882311e-09,1949.5,C[N+](=O)[O-],300,4.158256979882311,2.9715085995449253
558,35,2.0206358594512576e-10,1949.5,CC(C)([N+](=O)[O-])[N+](=O)[O-],300,0.2020635859451257,1.592833444850049
