MD_ID,box,Dmd_m2_s,window_ps,can_SMILES,T_K,Dmd×10-9/m2·s-1,Dpred×10-9/m2·s-1
39,35,9.134096671488731e-11,1649.5,Cc1ccc(C(C)C)c(O)c1,300,0.0913409667148873,1.4505952881711217
55,35,1.7581822652073792e-10,1949.5,CC(O)C(C)O,300,0.1758182265207379,1.4848654781908852
100,35,1.4627549310877447e-11,1949.5,O=C(O)CCCCc1ccccc1,300,0.0146275493108774,1.3470515786611628
104,35,3.562270654026881e-12,1899.5,CCOc1ccc2ccc(=O)oc2c1,300,0.0035622706540268,1.6332543239876154
134,35,2.330060193340293e-12,1249.5,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,300,0.0023300601933402,1.571075857962684
152,35,9.998403311495498e-13,1399.5,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,300,0.0009998403311495,1.5786040548412357
154,35,1.1120127098673066e-12,324.5,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,300,0.0011120127098673,1.5029850551474682
203,35,2.0070703267979364e-10,1949.5,O=C(O)C(Cl)Cl,300,0.2007070326797936,1.3578358737714098
208,35,2.9607001858274075e-09,1949.5,CCOCC,300,2.960700185827408,1.8084196764429021
224,35,2.4311212179607307e-10,1949.5,COCC(C)OCC(C)O,300,0.243112121796073,1.4754407223453196
232,35,2.925973380720238e-12,1099.5,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,300,0.0029259733807202,1.389336093185721
235,35,2.9488434804805203e-10,1949.5,CCOCCC(=O)OCC,300,0.294884348048052,1.559233452645932
251,35,1.4051189788494748e-12,949.5,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,300,0.0014051189788494,1.483233292926417
259,35,2.5453393468067635e-12,1299.5,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,300,0.0025453393468067,1.4386233406605369
269,35,1.2966006592600876e-12,674.5,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCC(=O)O,300,0.00129660065926,1.4915242368470125
272,35,9.34215873446673e-13,674.5,COC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,300,0.0009342158734466,1.5727975507094374
300,35,3.233180846341033e-12,1799.5,c1ccc([C@H]2CN3CCSC3=N2)cc1,300,0.003233180846341,1.4532933803229198
335,35,8.876159637225912e-11,1949.5,O=NN(CCO)CCO,300,0.0887615963722591,1.4011614812677613
368,35,1.042773729287863e-12,1299.5,Nc1ccc(C(=O)O)cc1,300,0.0010427737292878,1.4176266625220597
371,35,5.2125293924738635e-12,1799.5,CCCCC/C=C/C=C/C(=O)NCC(C)C,300,0.0052125293924738,1.716797805447655
392,35,5.52538854671271e-10,1949.5,CCCCOCC(C)O,300,0.552538854671271,1.807114843632483
441,35,7.088371265124812e-09,1949.5,[3H]O[3H],300,7.088371265124813,1.8772374873107744
500,35,1.0605960190174148e-11,1374.5,C1CCC2CC3CCCCC3CC2C1,300,0.0106059601901741,1.6993068411727958
510,35,1.0274863773224939e-10,1924.5,COCCOCCOCCOCCOC,300,0.1027486377322494,1.6323626877571455
516,35,1.3186903726806582e-11,1199.5,C1COCCOCCOCCO1,300,0.0131869037268065,1.4910080394710565
519,35,1.14502167586525e-12,1599.5,COc1ccc(C2(c3ccc(OC)cc3)OC(=O)c3ccccc32)cc1,300,0.0011450216758652,1.5808625667737684
611,35,2.105427898470801e-09,1949.5,Fc1cc(F)cc(F)c1,300,2.105427898470801,1.654949981440858
677,35,1.6949219812130066e-12,1649.5,CO[C@@]1(C(=O)NCc2ccc(Nc3ccncc3)cc2)CCOC1,300,0.001694921981213,1.393779309450769
690,35,1.0401878305307392e-12,249.5,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NNc1ccccc1)[C@@H](C)O)C(C)C,300,0.0010401878305307,1.2616684733741166
692,35,3.2616545464668217e-12,599.5,CC(C)=CCC[C@@]1(C)CC=C(COC(=O)CCC(=O)O)c2nnc(C)cc2[C@@H]1/C=C/OC(=O)C=C(C)C,300,0.0032616545464668,1.412403438559948
702,35,2.086376604727958e-12,299.5,COc1ccc2nccc(N/N=C/C3CCCCC3)c2c1,300,0.0020863766047279,1.5375512024065159
752,35,1.7551089198740524e-12,1099.5,CCN(CC)CCCN1C(=O)c2ccccc2S1(=O)=O,300,0.001755108919874,1.5030339718823158
776,35,3.1998815952448444e-12,199.5,CC(C)[C@@H](NC(=O)c1cc(C(F)(F)F)ccc1F)C(=O)N1CCC2(CC1)C(=O)N(C)C(=O)N2c1ccc2[nH]ncc2c1,300,0.0031998815952448,1.4304072798092016
822,35,1.0543983400182186e-12,149.5,CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@@]2(CCS2)[C@@H]1O)Oc1ccccc1,300,0.0010543983400182,1.4061955660899408
826,35,1.5181523613251538e-12,1824.5,Nc1cccc2cc3ccccc3cc12,300,0.0015181523613251,1.6791947370285967
837,35,1.3595796987181457e-12,874.5,CCCCCCCC[C@H](CC(=O)NO)C(=O)N[C@H]1CCCCN(CCOC)C1=O,300,0.0013595796987181,1.2906890270876454
847,35,1.29382958251846e-12,1499.5,O=C(O)CCCN1CC(c2nnn[nH]2)Oc2c(NC(=O)c3ccc(OCCCCc4ccccc4)cc3)cccc21,300,0.0012938295825184,1.4634081280943365
852,35,4.071012857101565e-12,1424.5,CCN(CC)c1nc(C)c2nc(SCC(=O)NCCN)n(CCn3cncn3)c2n1,300,0.0040710128571015,1.5267377766661807
872,35,2.190449851636703e-12,1424.5,CCCCCCCCCCCCCCC[C@@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@H]1CC=CC(=O)O1,300,0.0021904498516367,1.4100067872514876
939,35,1.945021979045973e-12,1524.5,CCCCCCCCCCn1cc(C(C)=O)c(=O)[nH]c1=O,300,0.0019450219790459,1.6044104152003527
940,35,1.6269153663277686e-12,1449.5,CCOC(=O)C(=O)NCCCN1CCOCC1,300,0.0016269153663277,1.5507317342639455
941,35,9.56700560383488e-13,649.5,COCCNC(=O)[C@@H]1CCCN1C(=O)C1CCN(S(=O)(=O)c2ccc(C)cc2)CC1,300,0.0009567005603834,1.2466978967491118
942,35,2.195223073261232e-12,1349.5,C[N+](C)(C)C[C@@H](O)CC(=O)[O-],300,0.0021952230732612,1.4125154430103455
946,35,5.843796979515537e-13,1649.5,NC(=O)CN1C(=O)CN(c2cccc(CCCCOCCCCCCNC[C@H](O)c3ccc(O)c(CO)c3)c2)C1=O,300,0.0005843796979515,1.4154305329417423
975,35,9.24830250955385e-12,1474.5,CCCCCCCCc1cn(CCCCC(=O)OCC)nn1,300,0.0092483025095538,1.3698503559187947
977,35,2.4482696028214208e-12,1949.5,CCc1c(CCNCCCCCCNC(C)Cc2ccc3c(c2CC)OCO3)ccc(OC)c1OC,300,0.0024482696028214,1.3896834620022804
990,35,4.452562514227195e-13,1324.5,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)CCCCN3CCCNCCNCCCNCC3)O2)c(=O)[nH]c1=O,300,0.0004452562514227,1.3682953396974211
995,35,2.5661923625654868e-12,1099.5,CCCCCCCCS(=O)(=O)NCC1CCC(CNc2nc(N(C)C)c3ccccc3n2)CC1,300,0.0025661923625654,1.4147647435541548
1015,35,5.350603949332431e-12,974.5,CCCCCCCCCCCCCCC[C@@H]1OC(=O)C(C)=C1C(=O)O,300,0.0053506039493324,1.5084375209020129
1016,35,4.776556351273056e-12,774.5,CCC/C=C/CCCCCCCCCC[C@]1(C)OC(=O)[C@@H](CO)[C@@H]1O,300,0.004776556351273,1.3459853535651234
1019,35,1.945655021674426e-12,1549.5,CCCCC(CC)COc1ccc(-c2c[nH]nn2)cc1,300,0.0019456550216744,1.624874186272963
1028,35,2.879481797547373e-12,1199.5,O=C(c1nccs1)[C@H](CCCCO)NC(=O)[C@@H]1CCCN1C(=O)CC(c1ccccc1)c1ccccc1,300,0.0028794817975473,1.3576157505222652
1030,35,1.4608280168146864e-12,1224.5,CCCCCCCCS(=O)(=O)NCCNCCCNCCN,300,0.0014608280168146,1.4586390455385483
1075,35,7.193595783302225e-11,1949.5,C=CCCC(=O)C1=CCCC(C)(C)C1,300,0.0719359578330222,1.5996645750010838
1103,35,1.0822014231804945e-12,1474.5,CCCC(=O)N[C@H](Cc1ccc(O)cc1)C(=O)NCCCNCCCCNCCCN,300,0.0010822014231804,1.403518896481523
1112,35,9.794431743952073e-13,874.5,CCC(=O)OC[C@@H](NC(=O)[C@H](N)CC(=O)O)C(C)C,300,0.0009794431743952,1.254036794319743
1135,35,2.777020798597572e-12,1674.5,NCCCCCCCCNCCCCCCCCN=C(N)N,300,0.0027770207985975,1.8099981310264062
1136,35,1.6648717597850706e-12,1799.5,c1c[nH]c(CNCCCCCCNCCSSCCNCCCCCCNCc2ccc[nH]2)c1,300,0.001664871759785,1.656691788624554
1149,35,1.9448288316886184e-12,1699.5,CCCCCCCCCC(=O)N(O)CCCCC(=O)N(O)CCCCC(=O)N(O)CCCCCN,300,0.0019448288316886,1.5802468013729731
1157,35,6.615722330747906e-12,1699.5,CCCCNCCCNCCCCCCCCNCCCNCCCC,300,0.0066157223307479,1.4284994264787676
1190,35,3.1608891334720733e-12,1099.5,CN(CCCSCCC(N)C(=O)O)CC(=O)O,300,0.003160889133472,1.4559687321894317
1199,35,5.580206777882277e-12,1774.5,NCC(O)CCCCCCCCCO,300,0.0055802067778822,1.5124917870333507
1213,35,5.974426410538359e-12,1299.5,CCCCCCCCCCCCCCCC(=O)NCC(OCC)OCC,300,0.0059744264105383,1.5958314684956456
1217,35,3.837380725299532e-12,899.5,NCCCCCCCCCCC(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)NCCC1CCCCC1,300,0.0038373807252995,1.4422925982568744
1244,35,2.152066719428149e-12,749.5,CCCCCCCCNCCS(=O)(=O)NCc1ccccc1OC,300,0.0021520667194281,1.3943331926705014
1283,35,2.605968956269266e-12,1099.5,COCCNc1cc(OCCN(C)C)nc(OCCNC(=N)N)n1,300,0.0026059689562692,1.440030029375307
