MD_ID,box,Dmd_m2_s,window_ps,can_SMILES,T_K,Dmd×10-9/m2·s-1,Dpred×10-9/m2·s-1,ln(Dmd×10-9/m2·s-1),ln(Dpred×10-9/m2·s-1),ref
1363,35,3.1761259450860784e-12,1799.5,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCCC(=O)NCCOCCO,300,0.003176125945086,1.380622930128753,-5.752093081129718,0.322534795963418,MD
7,35,1.384080671951711e-09,1949.5,COCC(C)O,300,1.3840806719517111,1.4725829530423684,0.3250361444791913,0.3870179697903845,MD
1324,35,1.233322715755937e-12,1174.5,NCCCNCCCCNC(=O)C(OCc1ccccc1)C(=O)NCCCCCCN=C(N)N,300,0.0012333227157559,1.6285935059623642,-6.698043356883692,0.48771676254593055,MD
438,35,3.9849921107985416e-12,1674.5,COc1cc(C=O)ccc1O,300,0.0039849921107985,1.4963353185928627,-5.52521994646626,0.40301899788032364,MD
