MD_ID,box,Dmd_m2_s,window_ps,can_SMILES,T_K,Dmd×10-9/m2·s-1,Dpred×10-9/m2·s-1
2,35,2.72094979792607e-09,1949.5,ClC=CCCl,300,2.72094979792607,1.8070923814415516
7,35,1.384080671951711e-09,1949.5,COCC(C)O,300,1.3840806719517111,1.2779373111000496
39,35,9.134096671488731e-11,1649.5,Cc1ccc(C(C)C)c(O)c1,300,0.0913409667148873,1.465994504605887
55,35,1.7581822652073792e-10,1949.5,CC(O)C(C)O,300,0.1758182265207379,1.3450130790116006
61,35,4.732952703091065e-10,1949.5,COCCOCCO,300,0.4732952703091064,1.5370734825267878
100,35,1.4627549310877447e-11,1949.5,O=C(O)CCCCc1ccccc1,300,0.0146275493108774,1.5846959632978377
104,35,3.562270654026881e-12,1899.5,CCOc1ccc2ccc(=O)oc2c1,300,0.0035622706540268,1.3291989605844758
134,35,2.330060193340293e-12,1249.5,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,300,0.0023300601933402,1.078989502639613
152,35,9.998403311495498e-13,1399.5,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,300,0.0009998403311495,1.3167217933604873
154,35,1.1120127098673066e-12,324.5,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,300,0.0011120127098673,1.5594777356305372
181,35,5.140384854899946e-12,1949.5,O=C(O)/C=C/c1ccccc1,300,0.0051403848548999,1.5715781673991993
188,35,1.2894433627330978e-12,1449.5,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,300,0.001289443362733,1.610207633174162
199,35,4.809366868146908e-12,1524.5,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,300,0.0048093668681469,1.2081090820780622
203,35,2.0070703267979364e-10,1949.5,O=C(O)C(Cl)Cl,300,0.2007070326797936,1.2516297812762
208,35,2.9607001858274075e-09,1949.5,CCOCC,300,2.960700185827408,1.3878878885415002
224,35,2.4311212179607307e-10,1949.5,COCC(C)OCC(C)O,300,0.243112121796073,1.1489136178872004
232,35,2.925973380720238e-12,1099.5,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,300,0.0029259733807202,1.1769317496325504
235,35,2.9488434804805203e-10,1949.5,CCOCCC(=O)OCC,300,0.294884348048052,1.368853486154963
240,35,4.180088084090093e-12,1149.5,CCOC(=O)c1ccc(N)cc1,300,0.00418008808409,1.4444211619796257
251,35,1.4051189788494748e-12,949.5,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,300,0.0014051189788494,1.2658095499758129
259,35,2.5453393468067635e-12,1299.5,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,300,0.0025453393468067,1.2111613585839873
269,35,1.2966006592600876e-12,674.5,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCC(=O)O,300,0.00129660065926,1.5373946844864625
272,35,9.34215873446673e-13,674.5,COC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,300,0.0009342158734466,1.4706314092022998
300,35,3.233180846341033e-12,1799.5,c1ccc([C@H]2CN3CCSC3=N2)cc1,300,0.003233180846341,1.2891719893802633
335,35,8.876159637225912e-11,1949.5,O=NN(CCO)CCO,300,0.0887615963722591,1.3646348911566257
