mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.20116949081420898,0.0057148346700986756,0.0013511180877685547,5.7136752573508946e-05,2,1,2,10,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 10}",0.20481916745321027,0.2150390406278364,0.13797758681807903,0.18247510217441332,0.15313763535474423,0.17868970648565666,0.029423586016872817,78
1.0097182273864747,0.024184342529920886,0.002799844741821289,2.722426996074065e-05,2,1,2,50,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",0.21230336541256312,0.17197729177527765,0.14840910721599143,0.16113242845688758,0.2059159420560437,0.1799476269833527,0.025033830570049192,74
2.030122470855713,0.04605566616007892,0.004631519317626953,2.8075546667145282e-05,2,1,2,100,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.19235735668427323,0.17128185013738373,0.1406021301852165,0.1678807799736246,0.2009585518707282,0.17461613377024526,0.02108131333602464,79
4.055250883102417,0.08484626125363279,0.008394479751586914,8.245864336253357e-05,2,1,2,200,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.1944580435486023,0.1601752963823312,0.14249729685220802,0.16519339300307123,0.20042936556052982,0.1725506790693485,0.021760695377221508,82
0.19960622787475585,0.0035582871920039555,0.0014611244201660155,0.0003834244772325688,2,1,5,10,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 10}",0.20643984620482048,0.21523318233451594,0.13797758681807903,0.18247510217441332,0.15373049878779754,0.17917124326392525,0.029661774897863535,77
1.0107123374938964,0.02420369146069122,0.002758169174194336,5.931976905854792e-06,2,1,5,50,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 50}",0.21285299797901713,0.1719370996932722,0.14840910721599143,0.16113242845688758,0.2048221203280578,0.17983075073464522,0.024957139384962333,75
2.030378532409668,0.04495517673148809,0.00462646484375,2.5093326091850803e-05,2,1,5,100,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.1926587985502617,0.17119947811169733,0.1406021301852165,0.1678807799736246,0.2006364597681265,0.17459552931778533,0.02105508946178972,80
4.061216735839844,0.08594277138439371,0.008503580093383789,0.0001492547988129905,2,1,5,200,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.1944378171727681,0.16049639440907149,0.14231163312836403,0.16519339300307123,0.1997705542438053,0.17244195839141602,0.02160437295685814,83
0.19973554611206054,0.003589548011589515,0.001335000991821289,9.788441360430152e-05,2,1,10,10,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 10}",0.20643984620482048,0.21523318233451594,0.13797758681807903,0.18247510217441332,0.15505887944978092,0.17943691939632195,0.029437819690415402,76
1.0090991973876953,0.02282185494243313,0.0027809619903564455,2.313687401191049e-05,2,1,10,50,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 50}",0.21285299797901713,0.17241351672804783,0.14744846829695102,0.1630212686589646,0.20527365085718596,0.1802019805040333,0.024993227826119072,73
