mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3535435199737549,0.008499972055364699,0.0017518043518066407,0.000432040374812592,2,1,2,10,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 10}",0.16031493707264033,0.18619455362635307,0.1125427668877671,0.13617409884839116,-0.020073528488329995,0.11503056558936434,0.07186284418470193,74
1.7123014450073242,0.018763174457776123,0.0032303333282470703,8.656111497561235e-05,2,1,2,50,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",0.14301897581092438,0.18124413520632132,0.09832404415844764,0.1350098718868259,0.009274459841506322,0.11337429738080511,0.058337820027248376,80
3.41308274269104,0.03163953968452937,0.005187797546386719,0.0001791226836847219,2,1,2,100,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.14355825206706485,0.1674859277330607,0.10568589922455585,0.13907725330857246,0.021738136403993247,0.11550909374744942,0.050859202295057845,73
6.773715400695801,0.06421086337058318,0.00896763801574707,0.00018870206239389928,2,1,2,200,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.1384166968302144,0.16297211798635447,0.09935776489629533,0.1350088891659471,0.03385645761106959,0.11392238529797619,0.04488467258079014,78
0.3454573154449463,0.0016783854142421453,0.0013448715209960938,3.635219607197808e-05,2,1,5,10,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 10}",0.15874576537787666,0.18099866737651293,0.1125427668877671,0.14240651517710612,-0.02472574053335075,0.11399359485718241,0.07286273322313463,77
1.7063979148864745,0.013394381244203356,0.002902317047119141,1.599886375320023e-05,2,1,5,50,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 50}",0.14225084127079146,0.177267759602745,0.09265773216420181,0.1403811047037633,0.009509224970516095,0.11241333254240353,0.058065668027813634,83
3.4070444107055664,0.02839139397591189,0.004937458038330078,0.00011360212730106243,2,1,5,100,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.1430016055681902,0.1635063835509467,0.10164299448009007,0.1427692218585106,0.021306644143768927,0.1144453699203013,0.05072160347948388,75
6.765409851074219,0.057331919179714294,0.008883285522460937,7.83806871530572e-05,2,1,5,200,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.13755773432130403,0.15820380526380828,0.09670795858348114,0.14186732189885276,0.033640802768671096,0.11359552456722347,0.04481367681880998,79
0.34372620582580565,0.003367685753057955,0.00133514404296875,3.744553353503357e-05,2,1,10,10,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 10}",0.15874576537787666,0.18099866737651293,0.1125427668877671,0.13381920914768752,-0.02311447126686872,0.1125983875045951,0.07166098683652126,82
1.7039640426635743,0.015216078417951305,0.002926206588745117,6.792688836870821e-05,2,1,10,50,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 50}",0.14171529356930668,0.17724822311992416,0.09249820061795577,0.13849920403405092,0.007153368426983331,0.11142285795364418,0.05867539172991141,84
3.4044381618499755,0.03243327308853459,0.0048729896545410155,3.277103048121147e-05,2,1,10,100,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",0.14220585757474935,0.16349863006027066,0.10145589494944063,0.14244726654636297,0.021352437256687784,0.11419201727750228,0.05058788956647933,76
6.760979270935058,0.05837030148218954,0.008880424499511718,4.031161142862256e-05,2,1,10,200,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 200}",0.13695426235412245,0.15809392066857308,0.09496410411092382,0.14163999449210873,0.03290556421467783,0.11291156916808118,0.04509521201842216,81
0.3453403949737549,0.0030292300001213577,0.0013277053833007813,1.0496267941476326e-05,2,2,2,10,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 10}",0.1648097057718637,0.16612816861380686,0.1025966461416864,0.10983580537479332,-0.01593682440254729,0.1054867002999206,0.06628355171028316,93
1.6948384284973144,0.024426818290971954,0.002893400192260742,1.031600577037694e-05,2,2,2,50,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",0.15978956938866484,0.16427602337212832,0.08170695260663907,0.13065008624323327,0.014164113387366561,0.11011734899960642,0.0562783418990777,85
3.392599010467529,0.05187645134849856,0.004864740371704102,5.789977399191198e-05,2,2,2,100,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.147272595913863,0.15611236698514752,0.08815261281962916,0.1307917068897949,0.019480811815598353,0.1083620188848066,0.0502105740178813,90
6.733681583404541,0.08067961205186394,0.009009075164794923,0.0001429121932039755,2,2,2,200,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.14205748287349673,0.155881939239795,0.09082287573901582,0.13420875660672138,0.02717442203464271,0.11002909529873432,0.04679045347197848,86
0.34497909545898436,0.0018080781598681325,0.0013131141662597657,2.208945240383238e-06,2,2,5,10,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 10}",0.1663744223736865,0.15763258413351677,0.1025966461416864,0.11563739455913902,-0.02048866709005348,0.10435047602359504,0.06693464733321466,94
1.695099449157715,0.020773855395590426,0.002919721603393555,3.972125081382948e-05,2,2,5,50,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 50}",0.1598513788569621,0.1593101012303174,0.07596191863502333,0.13467327413114216,0.012239243267988753,0.10840718322428675,0.056971023734973016,89
3.3824390411376952,0.044214033709359814,0.004988956451416016,0.00010231723252613385,2,2,5,100,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.14640585634447212,0.15175065123214848,0.0855882310630458,0.1345098892940867,0.01884114936778747,0.10741915546030811,0.05008353950394923,91
6.728505992889405,0.07920825000491709,0.00901017189025879,0.0001299594809105864,2,2,5,200,"{'rf__max_depth': 2, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.141686396478931,0.1525162451385068,0.08743693879783188,0.13833231444533522,0.026367694087633398,0.10926791778964766,0.04714902642800983,87
