molecule,box,D_m2_s,window_ps
773,35,8.552102219750055e-13,1274.5
774,35,8.799227084134819e-13,399.5
775,35,8.078723567673734e-13,799.5
776,35,3.1998815952448444e-12,199.5
777,35,2.786869318315767e-12,1949.5
778,35,1.5160787098931825e-12,1674.5
779,35,3.1050632070951836e-12,1274.5
780,35,1.2642899357936617e-12,1024.5
787,35,2.6340233817584772e-12,1124.5
791,35,1.1954477309195949e-12,1274.5
792,35,1.3081652996354114e-12,1274.5
794,35,8.32968457312081e-13,1149.5
795,35,3.399785544473864e-12,949.5
796,35,1.6376668566857584e-12,899.5
797,35,2.740521567727875e-12,1399.5
798,35,1.9349592232031586e-12,1599.5
799,35,1.349692740419428e-12,649.5
800,35,8.187863419776178e-13,1524.5
801,35,1.6494643907078585e-12,1949.5
802,35,6.746257529213398e-13,524.5
803,35,4.934797232789585e-12,1199.5
805,35,1.2073750006010269e-12,699.5
807,35,1.1637889385512248e-12,874.5
808,35,6.824447484247273e-13,274.5
811,35,1.5650821907472272e-12,1524.5
813,35,4.021531600627551e-12,1949.5
816,35,9.135209030489825e-13,524.5
817,35,3.3524186183754118e-12,199.5
818,35,3.904702359970643e-12,1224.5
819,35,7.886675679185923e-13,549.5
820,35,7.639511359556724e-12,1699.5
821,35,9.52737278638027e-13,724.5
822,35,1.0543983400182186e-12,149.5
823,35,1.7309762444651338e-12,1099.5
824,35,1.1410213516604091e-11,149.5
826,35,1.5181523613251538e-12,1824.5
827,35,2.2367127426083892e-12,1574.5
829,35,1.4977989462969792e-11,1824.5
830,35,1.7645377968024457e-12,1824.5
831,35,1.1153421781560195e-11,1949.5
834,35,4.3176089858141095e-11,1949.5
835,35,4.263529862312962e-12,499.5
836,35,1.2296300005452197e-12,724.5
