Compound_Name,SMILES_PubChem,logKp(cm/h),logKp(cm/s),Ref,T_K,Anatomical_location,Diffusion_cell,Receptor_medium,can_SMILES
Triamcinolone,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O,-5.4,-8.96,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
Triamcinolone Acetonide,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)CCC5=CC(=O)C=C[C@@]53C)F)O,-4.69,-8.25,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
Trichloroacetic Acid,C(=O)(C(Cl)(Cl)Cl)O,-2.72,-6.28,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,O=C(O)C(Cl)(Cl)Cl
Trichloroacetonitrile,C(#N)C(Cl)(Cl)Cl,-1.04,-4.6,79,310.15,"Cadaver, Torso",Glass Diffusion Cell,PBS,N#CC(Cl)(Cl)Cl
Trichloroethylene,C(=C(Cl)Cl)Cl,-0.92,-4.48,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,ClC=C(Cl)Cl
Trichloromethane,C(Cl)(Cl)Cl,-0.9,-4.46,14,305.15,Human Abdominal Skin,Static,PBS/Saline,ClC(Cl)Cl
Trichloromethane,C(Cl)(Cl)Cl,-1.8,-5.36,47,305.15,Human Abdominal Skin,Static/Stirred,PBS/Saline,ClC(Cl)Cl
Triclosan,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,-3.71,-7.27,65,305.15,"Abdominoplasty Or Mammaplasty, Abdomen, Breast",Flow Through Cell,"Eagle Minimal Essential Medium with Earle's salt, sodium bicarbonate and gentamicin",Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
Triclosan,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,-1.48,-5.04,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
Triclosan,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,-0.56,-4.11,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
Triclosan,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,-4.47,-8.03,9,310.15,Breast And Abdomen,Static,ethanol : PBS (25 : 75),Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
